DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;2899.000;GRID_TO_PROVIDER;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;2000.000;GRID_TO_PROVIDER;9;9;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;18.690;PROVIDER_TO_GRID;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;11.400;PROVIDER_TO_GRID;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;3600.000;GRID_TO_PROVIDER;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;9878.000;GRID_TO_PROVIDER;2;2;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;38.290;GRID_TO_PROVIDER;3;3;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;4.400;PROVIDER_TO_GRID;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;212.370;GRID_TO_PROVIDER;4;4;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;5.000;GRID_TO_PROVIDER;15;15;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;2.600;GRID_TO_PROVIDER;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.000;7140.000;GRID_TO_PROVIDER;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.200;18.790;PROVIDER_TO_GRID;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.360;18.930;PROVIDER_TO_GRID;5;5;DE;
21.11.2019;21.11.2019;aFRR;NEG_00_04;0.560;19.060;PROVIDER_TO_GRID;5;5;DE;
