DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.000;1447.000;GRID_TO_PROVIDER;9;9;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.000;1900.000;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.000;21.100;PROVIDER_TO_GRID;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.000;11.000;PROVIDER_TO_GRID;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1905.070;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1907.250;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1905.800;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1903.620;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1902.900;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1904.350;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.010;1906.520;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1907.970;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1909.420;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1910.870;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1910.140;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1908.700;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1912.320;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.020;1911.590;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.030;1917.390;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.030;1913.770;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.030;1915.220;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.030;1913.040;GRID_TO_PROVIDER;5;5;DE;
22.11.2019;22.11.2019;aFRR;NEG_00_04;2.030;1915.940;GRID_TO_PROVIDER;5;5;DE;
