;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
165542;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;89999.0;GRID_TO_PROVIDER;1;1;DE;
165543;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;300.0;GRID_TO_PROVIDER;1;1;DE;
165544;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;49.98;GRID_TO_PROVIDER;1;1;DE;
165545;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;549.98;GRID_TO_PROVIDER;1;1;DE;
165546;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;19.0;GRID_TO_PROVIDER;5;5;DE;
165547;2019-09-28;2019-09-28;mFRR;NEG_00_04;0.0;680.0;GRID_TO_PROVIDER;3;3;DE;
165548;2019-09-28;2019-09-28;mFRR;NEG_00_04;2.5;990.0;GRID_TO_PROVIDER;5;5;DE;
165549;2019-09-28;2019-09-28;mFRR;NEG_00_04;3.498;990.0;GRID_TO_PROVIDER;5;5;DE;
165550;2019-09-28;2019-09-28;mFRR;NEG_00_04;4.323;645.0;GRID_TO_PROVIDER;7;7;DE;
165551;2019-09-28;2019-09-28;mFRR;NEG_00_04;5.093;645.0;GRID_TO_PROVIDER;5;5;DE;
165552;2019-09-28;2019-09-28;mFRR;NEG_00_04;5.83;800.0;GRID_TO_PROVIDER;5;5;DE;
165553;2019-09-28;2019-09-28;mFRR;NEG_00_04;5.9;148.0;GRID_TO_PROVIDER;18;18;DE;
165554;2019-09-28;2019-09-28;mFRR;NEG_00_04;6.0;1.0;GRID_TO_PROVIDER;5;5;DE;
165555;2019-09-28;2019-09-28;mFRR;NEG_00_04;6.16;375.0;GRID_TO_PROVIDER;5;5;DE;
165556;2019-09-28;2019-09-28;mFRR;NEG_00_04;6.544;800.0;GRID_TO_PROVIDER;5;5;DE;
165557;2019-09-28;2019-09-28;mFRR;NEG_00_04;6.75;73.0;GRID_TO_PROVIDER;5;5;DE;
165558;2019-09-28;2019-09-28;mFRR;NEG_00_04;7.238;990.0;GRID_TO_PROVIDER;5;5;DE;
165559;2019-09-28;2019-09-28;mFRR;NEG_00_04;7.5;145.0;GRID_TO_PROVIDER;5;5;DE;
165560;2019-09-28;2019-09-28;mFRR;NEG_00_04;7.918;990.0;GRID_TO_PROVIDER;5;5;DE;
165561;2019-09-28;2019-09-28;mFRR;NEG_00_04;8.241;2039.04;GRID_TO_PROVIDER;5;5;DE;
165562;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.0;80.0;GRID_TO_PROVIDER;5;5;DE;
165563;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.02;80.68;GRID_TO_PROVIDER;5;5;DE;
165564;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.03;81.36;GRID_TO_PROVIDER;5;5;DE;
165565;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.05;82.03;GRID_TO_PROVIDER;5;5;DE;
165566;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.07;82.71;GRID_TO_PROVIDER;5;5;DE;
165567;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.08;83.39;GRID_TO_PROVIDER;5;5;DE;
165568;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.1;84.07;GRID_TO_PROVIDER;5;5;DE;
165569;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.12;84.75;GRID_TO_PROVIDER;5;5;DE;
165570;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.14;85.42;GRID_TO_PROVIDER;5;5;DE;
165571;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.15;86.1;GRID_TO_PROVIDER;5;5;DE;
165572;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.17;86.78;GRID_TO_PROVIDER;5;5;DE;
165573;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.19;87.46;GRID_TO_PROVIDER;5;5;DE;
165574;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.2;88.14;GRID_TO_PROVIDER;5;5;DE;
165575;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.22;88.81;GRID_TO_PROVIDER;5;5;DE;
165576;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.24;89.49;GRID_TO_PROVIDER;5;5;DE;
165577;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.25;90.17;GRID_TO_PROVIDER;5;5;DE;
165578;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.27;90.85;GRID_TO_PROVIDER;5;5;DE;
165579;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.29;91.53;GRID_TO_PROVIDER;5;5;DE;
165580;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.31;92.2;GRID_TO_PROVIDER;5;5;DE;
165581;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.32;92.88;GRID_TO_PROVIDER;5;5;DE;
165582;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.34;93.56;GRID_TO_PROVIDER;5;5;DE;
165583;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.36;94.24;GRID_TO_PROVIDER;5;5;DE;
165584;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.37;94.92;GRID_TO_PROVIDER;5;5;DE;
165585;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.39;95.59;GRID_TO_PROVIDER;5;5;DE;
165586;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.41;96.27;GRID_TO_PROVIDER;5;5;DE;
165587;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.42;96.95;GRID_TO_PROVIDER;5;5;DE;
165588;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.44;97.63;GRID_TO_PROVIDER;5;5;DE;
165589;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.46;98.31;GRID_TO_PROVIDER;5;5;DE;
165590;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.47;98.98;GRID_TO_PROVIDER;5;5;DE;
165591;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.49;99.66;GRID_TO_PROVIDER;5;5;DE;
165592;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.51;100.34;GRID_TO_PROVIDER;5;5;DE;
165593;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.53;101.02;GRID_TO_PROVIDER;5;5;DE;
165594;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.54;101.69;GRID_TO_PROVIDER;5;5;DE;
165595;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.56;102.37;GRID_TO_PROVIDER;5;5;DE;
165596;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.58;103.05;GRID_TO_PROVIDER;5;5;DE;
165597;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.59;103.73;GRID_TO_PROVIDER;5;5;DE;
165598;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.61;104.41;GRID_TO_PROVIDER;5;5;DE;
165599;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.63;105.08;GRID_TO_PROVIDER;5;5;DE;
165600;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.64;105.76;GRID_TO_PROVIDER;5;5;DE;
165601;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.66;106.44;GRID_TO_PROVIDER;5;5;DE;
165602;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.68;107.12;GRID_TO_PROVIDER;5;5;DE;
165603;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.69;107.8;GRID_TO_PROVIDER;5;5;DE;
165604;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.71;108.47;GRID_TO_PROVIDER;5;5;DE;
165605;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.73;109.15;GRID_TO_PROVIDER;5;5;DE;
165606;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.75;109.83;GRID_TO_PROVIDER;5;5;DE;
165607;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.76;110.51;GRID_TO_PROVIDER;5;5;DE;
165608;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.78;111.19;GRID_TO_PROVIDER;5;5;DE;
165609;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165610;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165611;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165612;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165613;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165614;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165615;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165616;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165617;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165618;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165619;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165620;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165621;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;111.86;GRID_TO_PROVIDER;5;5;DE;
165622;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;5;5;DE;
165623;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.8;15421.0;GRID_TO_PROVIDER;9;9;DE;
165624;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.81;112.54;GRID_TO_PROVIDER;5;5;DE;
165625;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.83;113.22;GRID_TO_PROVIDER;5;5;DE;
165626;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.85;113.9;GRID_TO_PROVIDER;5;5;DE;
165627;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.86;114.58;GRID_TO_PROVIDER;5;5;DE;
165628;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.88;115.25;GRID_TO_PROVIDER;5;5;DE;
165629;2019-09-28;2019-09-28;mFRR;NEG_00_04;12.9;115.93;GRID_TO_PROVIDER;5;5;DE;
