;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
124135;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;680.0;GRID_TO_PROVIDER;2;2;DE;
124136;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;5;5;DE;
124137;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;5;5;DE;
124138;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;300.0;GRID_TO_PROVIDER;1;1;DE;
124139;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;59124.0;GRID_TO_PROVIDER;5;5;DE;
124140;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;6;6;DE;
124141;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;0.0;PROVIDER_TO_GRID;5;5;DE;
124142;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;5;5;DE;
124143;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;59124.0;GRID_TO_PROVIDER;5;5;DE;
124144;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;7;7;DE;
124145;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;59124.0;GRID_TO_PROVIDER;5;5;DE;
124146;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;59124.0;GRID_TO_PROVIDER;5;5;DE;
124147;2019-09-22;2019-09-22;mFRR;NEG_00_04;0.0;96855.0;GRID_TO_PROVIDER;5;5;DE;
124148;2019-09-22;2019-09-22;mFRR;NEG_00_04;2.0;42.0;GRID_TO_PROVIDER;8;8;DE;
124149;2019-09-22;2019-09-22;mFRR;NEG_00_04;3.0;1.0;GRID_TO_PROVIDER;5;5;DE;
124150;2019-09-22;2019-09-22;mFRR;NEG_00_04;3.0;225.0;GRID_TO_PROVIDER;5;5;DE;
124151;2019-09-22;2019-09-22;mFRR;NEG_00_04;3.0;449.0;GRID_TO_PROVIDER;5;5;DE;
124152;2019-09-22;2019-09-22;mFRR;NEG_00_04;3.976;2027.731;GRID_TO_PROVIDER;5;5;DE;
