;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
177440;2019-12-28;2019-12-28;mFRR;NEG_00_04;0.0;69.0;GRID_TO_PROVIDER;1;1;AT;
177441;2019-12-28;2019-12-28;mFRR;NEG_00_04;0.0;8.0;GRID_TO_PROVIDER;5;5;DE;
177442;2019-12-28;2019-12-28;mFRR;NEG_00_04;3.1;699.0;GRID_TO_PROVIDER;1;1;AT;
177443;2019-12-28;2019-12-28;mFRR;NEG_00_04;3.3;81.0;GRID_TO_PROVIDER;5;5;AT;
177444;2019-12-28;2019-12-28;mFRR;NEG_00_04;3.5;82.0;GRID_TO_PROVIDER;5;5;AT;
177445;2019-12-28;2019-12-28;mFRR;NEG_00_04;3.8;303.0;GRID_TO_PROVIDER;5;5;AT;
177446;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.0;644.0;GRID_TO_PROVIDER;5;5;AT;
177447;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.2;3333.0;GRID_TO_PROVIDER;5;5;AT;
177448;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.3;76.0;GRID_TO_PROVIDER;5;5;AT;
177449;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.32;77.0;GRID_TO_PROVIDER;5;5;AT;
177450;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.34;78.0;GRID_TO_PROVIDER;5;5;AT;
177451;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.36;78.0;GRID_TO_PROVIDER;5;5;AT;
177452;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.57;418.58;GRID_TO_PROVIDER;11;11;AT;
177453;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.6;79.0;GRID_TO_PROVIDER;10;10;AT;
177454;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.62;94.0;GRID_TO_PROVIDER;10;10;AT;
177455;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.64;144.0;GRID_TO_PROVIDER;10;10;AT;
177456;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.66;164.0;GRID_TO_PROVIDER;10;10;AT;
177457;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.68;194.0;GRID_TO_PROVIDER;10;10;AT;
177458;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.7;244.0;GRID_TO_PROVIDER;5;5;AT;
177459;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.72;294.0;GRID_TO_PROVIDER;5;5;AT;
177460;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.74;394.0;GRID_TO_PROVIDER;5;5;AT;
177461;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.75;200.0;GRID_TO_PROVIDER;3;3;AT;
177462;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.76;494.0;GRID_TO_PROVIDER;5;5;AT;
177463;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.78;594.0;GRID_TO_PROVIDER;5;5;AT;
177464;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.8;694.0;GRID_TO_PROVIDER;5;5;AT;
177465;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.82;794.0;GRID_TO_PROVIDER;5;5;AT;
177466;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.83;178.0;GRID_TO_PROVIDER;5;5;AT;
177467;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.84;894.0;GRID_TO_PROVIDER;10;10;AT;
177468;2019-12-28;2019-12-28;mFRR;NEG_00_04;4.92;68.0;GRID_TO_PROVIDER;1;1;AT;
177469;2019-12-28;2019-12-28;mFRR;NEG_00_04;5.0;26.0;GRID_TO_PROVIDER;8;8;DE;
177470;2019-12-28;2019-12-28;mFRR;NEG_00_04;5.04;774.0;GRID_TO_PROVIDER;10;10;AT;
177471;2019-12-28;2019-12-28;mFRR;NEG_00_04;5.24;674.0;GRID_TO_PROVIDER;10;10;AT;
177472;2019-12-28;2019-12-28;mFRR;NEG_00_04;5.44;574.0;GRID_TO_PROVIDER;5;5;AT;
177473;2019-12-28;2019-12-28;mFRR;NEG_00_04;5.84;98.0;GRID_TO_PROVIDER;8;8;AT;
177474;2019-12-28;2019-12-28;mFRR;NEG_00_04;8.89;1440.0;GRID_TO_PROVIDER;4;4;DE;
177475;2019-12-28;2019-12-28;mFRR;NEG_00_04;10.0;55.0;GRID_TO_PROVIDER;8;8;DE;
177476;2019-12-28;2019-12-28;mFRR;NEG_00_04;10.6;1110.73;GRID_TO_PROVIDER;5;5;DE;
177477;2019-12-28;2019-12-28;mFRR;NEG_00_04;10.6;8324.906;GRID_TO_PROVIDER;5;5;DE;
177478;2019-12-28;2019-12-28;mFRR;NEG_00_04;10.6;1.0;GRID_TO_PROVIDER;5;5;DE;
