;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
101113;2019-06-28;2019-06-28;aFRR;NEG_00_04;0.5;50.0;GRID_TO_PROVIDER;7;7;DE;
101114;2019-06-28;2019-06-28;aFRR;NEG_00_04;3.55;23.67;GRID_TO_PROVIDER;5;5;DE;
101115;2019-06-28;2019-06-28;aFRR;NEG_00_04;3.58;23.84;GRID_TO_PROVIDER;5;5;DE;
101116;2019-06-28;2019-06-28;aFRR;NEG_00_04;3.6;24.0;GRID_TO_PROVIDER;5;5;DE;
101117;2019-06-28;2019-06-28;aFRR;NEG_00_04;5.6;1.0;GRID_TO_PROVIDER;20;20;AT;
101118;2019-06-28;2019-06-28;aFRR;NEG_00_04;6.4;1.0;GRID_TO_PROVIDER;20;20;AT;
101119;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.36;17.88;PROVIDER_TO_GRID;5;5;AT;
101120;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.4;17.86;PROVIDER_TO_GRID;5;5;AT;
101121;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.44;17.84;PROVIDER_TO_GRID;5;5;AT;
101122;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.48;17.82;PROVIDER_TO_GRID;5;5;AT;
101123;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.48;17.74;PROVIDER_TO_GRID;5;5;AT;
101124;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.52;17.58;PROVIDER_TO_GRID;5;5;AT;
101125;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.52;17.66;PROVIDER_TO_GRID;5;5;AT;
101126;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.56;17.5;PROVIDER_TO_GRID;5;5;AT;
101127;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.6;17.35;PROVIDER_TO_GRID;5;5;AT;
101128;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.6;17.42;PROVIDER_TO_GRID;5;5;AT;
101129;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.64;17.19;PROVIDER_TO_GRID;5;5;AT;
101130;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.64;17.27;PROVIDER_TO_GRID;5;5;AT;
101131;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.64;17.11;PROVIDER_TO_GRID;5;5;AT;
101132;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.68;17.03;PROVIDER_TO_GRID;5;5;AT;
101133;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.68;16.95;PROVIDER_TO_GRID;5;5;AT;
101134;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.72;16.87;PROVIDER_TO_GRID;5;5;AT;
101135;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.72;16.71;PROVIDER_TO_GRID;5;5;AT;
101136;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.72;16.79;PROVIDER_TO_GRID;5;5;AT;
101137;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.76;16.63;PROVIDER_TO_GRID;5;5;AT;
101138;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.76;16.55;PROVIDER_TO_GRID;5;5;AT;
101139;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.8;16.47;PROVIDER_TO_GRID;5;5;AT;
101140;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.84;16.4;PROVIDER_TO_GRID;5;5;AT;
101141;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.84;16.32;PROVIDER_TO_GRID;5;5;AT;
101142;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.88;16.16;PROVIDER_TO_GRID;10;10;AT;
101143;2019-06-28;2019-06-28;aFRR;NEG_00_04;10.88;16.08;PROVIDER_TO_GRID;10;10;AT;
