;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
94737;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;24.34;GRID_TO_PROVIDER;5;5;AT;
94738;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;24.36;GRID_TO_PROVIDER;5;5;AT;
94739;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;23.12;GRID_TO_PROVIDER;5;5;AT;
94740;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;25.6;GRID_TO_PROVIDER;10;10;AT;
94741;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;19.4;GRID_TO_PROVIDER;5;5;AT;
94742;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;6.16;GRID_TO_PROVIDER;5;5;AT;
94743;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;21.88;GRID_TO_PROVIDER;5;5;AT;
94744;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;20.64;GRID_TO_PROVIDER;5;5;AT;
94745;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;38.0;GRID_TO_PROVIDER;10;10;AT;
94746;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;36.76;GRID_TO_PROVIDER;5;5;AT;
94747;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;33.04;GRID_TO_PROVIDER;10;10;AT;
94748;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;31.8;GRID_TO_PROVIDER;5;5;AT;
94749;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;35.52;GRID_TO_PROVIDER;5;5;AT;
94750;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;34.28;GRID_TO_PROVIDER;5;5;AT;
94751;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;26.0;GRID_TO_PROVIDER;1;1;AT;
94752;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;26.5;GRID_TO_PROVIDER;7;7;AT;
94753;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;27.0;GRID_TO_PROVIDER;5;5;AT;
94754;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;250.0;GRID_TO_PROVIDER;6;6;DE;
94755;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;29.0;GRID_TO_PROVIDER;5;5;AT;
94756;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;5.25;GRID_TO_PROVIDER;5;5;AT;
94757;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;4.35;GRID_TO_PROVIDER;5;5;AT;
94758;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;28.08;GRID_TO_PROVIDER;5;5;AT;
94759;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;26.84;GRID_TO_PROVIDER;5;5;AT;
94760;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;5999.0;GRID_TO_PROVIDER;5;5;DE;
94761;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;5999.0;GRID_TO_PROVIDER;9;9;DE;
94762;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;3499.0;GRID_TO_PROVIDER;5;5;DE;
94763;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;3999.0;GRID_TO_PROVIDER;5;5;DE;
94764;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;4788.0;GRID_TO_PROVIDER;5;5;DE;
94765;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;5999.0;GRID_TO_PROVIDER;5;5;DE;
94766;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;0.23;PROVIDER_TO_GRID;100;100;DE;
94767;2019-08-26;2019-08-26;aFRR;NEG_00_04;0.0;3499.0;GRID_TO_PROVIDER;5;5;DE;
