;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
52853;2019-03-15;2019-03-15;aFRR;NEG_00_04;0.0;243.5;GRID_TO_PROVIDER;1;1;DE;
52854;2019-03-15;2019-03-15;aFRR;NEG_00_04;0.0;250.0;GRID_TO_PROVIDER;5;5;DE;
52855;2019-03-15;2019-03-15;aFRR;NEG_00_04;0.0;250.0;GRID_TO_PROVIDER;4;4;DE;
52856;2019-03-15;2019-03-15;aFRR;NEG_00_04;0.0;226.47;GRID_TO_PROVIDER;9;9;DE;
52857;2019-03-15;2019-03-15;aFRR;NEG_00_04;2.8;69.0;GRID_TO_PROVIDER;1;1;AT;
52858;2019-03-15;2019-03-15;aFRR;NEG_00_04;3.0;11.0;GRID_TO_PROVIDER;5;5;DE;
52859;2019-03-15;2019-03-15;aFRR;NEG_00_04;4.0;200.0;GRID_TO_PROVIDER;5;5;DE;
52860;2019-03-15;2019-03-15;aFRR;NEG_00_04;5.0;1.0;PROVIDER_TO_GRID;5;5;DE;
52861;2019-03-15;2019-03-15;aFRR;NEG_00_04;5.0;210.0;GRID_TO_PROVIDER;6;6;DE;
52862;2019-03-15;2019-03-15;aFRR;NEG_00_04;8.0;9.0;PROVIDER_TO_GRID;5;5;DE;
52863;2019-03-15;2019-03-15;aFRR;NEG_00_04;8.16;51.0;GRID_TO_PROVIDER;7;7;AT;
52864;2019-03-15;2019-03-15;aFRR;NEG_00_04;14.0;30.0;GRID_TO_PROVIDER;5;5;AT;
52865;2019-03-15;2019-03-15;aFRR;NEG_00_04;14.4;29.0;GRID_TO_PROVIDER;5;5;AT;
52866;2019-03-15;2019-03-15;aFRR;NEG_00_04;15.32;29.97;GRID_TO_PROVIDER;5;5;AT;
52867;2019-03-15;2019-03-15;aFRR;NEG_00_04;18.0;64.0;GRID_TO_PROVIDER;5;5;DE;
52868;2019-03-15;2019-03-15;aFRR;NEG_00_04;18.4;1.0;GRID_TO_PROVIDER;30;30;AT;
52869;2019-03-15;2019-03-15;aFRR;NEG_00_04;19.0;61.0;GRID_TO_PROVIDER;5;5;DE;
52870;2019-03-15;2019-03-15;aFRR;NEG_00_04;19.6;1.0;GRID_TO_PROVIDER;25;25;AT;
52871;2019-03-15;2019-03-15;aFRR;NEG_00_04;19.72;9.99;GRID_TO_PROVIDER;5;5;AT;
52872;2019-03-15;2019-03-15;aFRR;NEG_00_04;20.0;160.0;GRID_TO_PROVIDER;6;6;DE;
52873;2019-03-15;2019-03-15;aFRR;NEG_00_04;20.36;10.59;GRID_TO_PROVIDER;5;5;AT;
52874;2019-03-15;2019-03-15;aFRR;NEG_00_04;20.4;7.8;GRID_TO_PROVIDER;5;5;AT;
52875;2019-03-15;2019-03-15;aFRR;NEG_00_04;20.8;1.0;GRID_TO_PROVIDER;20;20;AT;
52876;2019-03-15;2019-03-15;aFRR;NEG_00_04;21.2;9.0;GRID_TO_PROVIDER;5;5;AT;
52877;2019-03-15;2019-03-15;aFRR;NEG_00_04;21.32;1.0;GRID_TO_PROVIDER;5;5;AT;
52878;2019-03-15;2019-03-15;aFRR;NEG_00_04;21.72;1.0;GRID_TO_PROVIDER;5;5;AT;
52879;2019-03-15;2019-03-15;aFRR;NEG_00_04;21.95;15.0;GRID_TO_PROVIDER;5;5;DE;
52880;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.0;0.1;GRID_TO_PROVIDER;1;1;AT;
52881;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.0;0.5;GRID_TO_PROVIDER;5;5;AT;
52882;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.4;1.0;GRID_TO_PROVIDER;10;6;AT;
52883;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.4;3.0;PROVIDER_TO_GRID;5;5;AT;
52884;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.8;1.0;PROVIDER_TO_GRID;5;5;AT;
52885;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.8;1.0;PROVIDER_TO_GRID;5;5;AT;
52886;2019-03-15;2019-03-15;aFRR;NEG_00_04;22.8;3.0;PROVIDER_TO_GRID;5;5;AT;
52887;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.2;3.0;PROVIDER_TO_GRID;5;5;AT;
52888;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.2;3.0;PROVIDER_TO_GRID;5;5;AT;
52889;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.2;3.0;PROVIDER_TO_GRID;5;5;AT;
52890;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.24;3.0;PROVIDER_TO_GRID;5;5;AT;
52891;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.64;3.0;PROVIDER_TO_GRID;5;5;AT;
52892;2019-03-15;2019-03-15;aFRR;NEG_00_04;23.75;8.333;GRID_TO_PROVIDER;5;5;DE;
52893;2019-03-15;2019-03-15;aFRR;NEG_00_04;24.04;3.0;PROVIDER_TO_GRID;5;5;AT;
52894;2019-03-15;2019-03-15;aFRR;NEG_00_04;25.55;1.667;GRID_TO_PROVIDER;5;5;DE;
52895;2019-03-15;2019-03-15;aFRR;NEG_00_04;27.32;14.05;PROVIDER_TO_GRID;5;5;AT;
52896;2019-03-15;2019-03-15;aFRR;NEG_00_04;27.35;5.0;PROVIDER_TO_GRID;5;5;DE;
52897;2019-03-15;2019-03-15;aFRR;NEG_00_04;27.6;15.04;PROVIDER_TO_GRID;5;5;AT;
52898;2019-03-15;2019-03-15;aFRR;NEG_00_04;29.2;151.1;GRID_TO_PROVIDER;5;5;DE;
52899;2019-03-15;2019-03-15;aFRR;NEG_00_04;29.98;126.0;GRID_TO_PROVIDER;8;8;DE;
52900;2019-03-15;2019-03-15;aFRR;NEG_00_04;30.0;72.01;GRID_TO_PROVIDER;5;5;DE;
52901;2019-03-15;2019-03-15;aFRR;NEG_00_04;31.6;37.5;GRID_TO_PROVIDER;7;7;DE;
52902;2019-03-15;2019-03-15;aFRR;NEG_00_04;31.7;50.0;GRID_TO_PROVIDER;5;5;DE;
52903;2019-03-15;2019-03-15;aFRR;NEG_00_04;32.35;120.2;GRID_TO_PROVIDER;2;2;DE;
52904;2019-03-15;2019-03-15;aFRR;NEG_00_04;32.35;120.2;GRID_TO_PROVIDER;2;2;DE;
52905;2019-03-15;2019-03-15;aFRR;NEG_00_04;32.35;120.2;GRID_TO_PROVIDER;5;5;DE;
52906;2019-03-15;2019-03-15;aFRR;NEG_00_04;32.35;120.2;GRID_TO_PROVIDER;8;8;DE;
