;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
14988;2019-06-05;2019-06-05;aFRR;NEG_00_04;0.0;120.0;GRID_TO_PROVIDER;40;40;DE;
14989;2019-06-05;2019-06-05;aFRR;NEG_00_04;0.0;145.0;GRID_TO_PROVIDER;10;9;DE;
14990;2019-06-05;2019-06-05;aFRR;NEG_00_04;3.8;63.8;GRID_TO_PROVIDER;1;1;DE;
14991;2019-06-05;2019-06-05;aFRR;NEG_00_04;5.08;50.0;GRID_TO_PROVIDER;6;6;DE;
14992;2019-06-05;2019-06-05;aFRR;NEG_00_04;10.6;42.0;GRID_TO_PROVIDER;5;5;DE;
14993;2019-06-05;2019-06-05;aFRR;NEG_00_04;10.99;64.0;GRID_TO_PROVIDER;8;8;DE;
14994;2019-06-05;2019-06-05;aFRR;NEG_00_04;11.2;1.0;GRID_TO_PROVIDER;20;20;AT;
14995;2019-06-05;2019-06-05;aFRR;NEG_00_04;11.45;40.0;GRID_TO_PROVIDER;11;11;DE;
14996;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.0;12.01;GRID_TO_PROVIDER;5;5;DE;
14997;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.0;1.0;GRID_TO_PROVIDER;20;20;AT;
14998;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.0;2.5;GRID_TO_PROVIDER;7;7;AT;
14999;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.08;1.0;GRID_TO_PROVIDER;6;6;AT;
15000;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.8;0.72;GRID_TO_PROVIDER;10;10;AT;
15001;2019-06-05;2019-06-05;aFRR;NEG_00_04;12.8;1.0;GRID_TO_PROVIDER;20;20;AT;
15002;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.25;70.01;GRID_TO_PROVIDER;5;5;DE;
15003;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.25;70.01;GRID_TO_PROVIDER;5;5;DE;
15004;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.76;3.0;PROVIDER_TO_GRID;3;3;AT;
15005;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.8;3.0;PROVIDER_TO_GRID;5;5;AT;
15006;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.8;3.1;PROVIDER_TO_GRID;5;5;AT;
15007;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.84;3.0;PROVIDER_TO_GRID;5;5;AT;
15008;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.84;2.99;PROVIDER_TO_GRID;5;5;AT;
15009;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.88;3.0;PROVIDER_TO_GRID;5;5;AT;
15010;2019-06-05;2019-06-05;aFRR;NEG_00_04;13.92;3.0;PROVIDER_TO_GRID;5;5;AT;
