time [s];GER pos. energy aFRR [MWh];GER neg. energy aFRR [MWh];GER pos. aFRR costs [EUR];GER neg. aFRR costs [EUR];GER pos. energy mFRR [MWh];GER neg. energy mFRR [MWh];GER pos. mFRR costs [EUR];GER neg. mFRR costs [EUR];GER AEP [EUR/MWh];Solar AEP costs [EUR];Solar Marktprämie [EUR];Wind offshore AEP costs [EUR];Wind offshore Marktprämie [EUR];Wind onshore AEP costs [EUR];Wind onshore Marktprämie [EUR];Aluminium AEP costs [EUR];Steel AEP costs [EUR];Cement AEP costs [EUR];Paper AEP costs [EUR];Chlorine AEP costs [EUR];Gas AEP costs [EUR];
840;0.0;-13.003643798040454;0.0;-52.10643870486182;0.0;0.0;0.0;0.0;4.007064443945616;-0.0;0.0;-2.3332746536866614e-07;1354.6930094730674;-4.199889071387861e-06;6730.342840769193;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
1740;0.0;-44.31409363875207;0.0;297.9188104941162;0.0;0.0;0.0;0.0;-6.722890756217346;0.0;0.0;-3.21607349847135e-07;725.1004074190007;9.648249745475429e-07;5764.612250348497;0.0;0.0;0.0;0.0;0.0;0.0
2640;0.0;-74.52306688863531;0.0;1181.9732798089628;0.0;0.0;0.0;0.0;-15.860502380763029;0.0;0.0;-5.515496092605035e-07;723.5022642085011;9.927902999332862e-06;5976.235313310748;0.0;0.0;0.0;0.0;0.0;0.0
3540;0.0;-103.40215037880145;0.0;2851.3220130711948;0.0;0.0;0.0;0.0;-27.575074624905927;0.0;0.0;1.368586765596953e-06;689.9412566975009;2.0528988192592547e-06;6058.257494237749;0.0;0.0;0.0;0.0;0.0;0.0
4440;0.0;-132.77928408322234;0.0;5264.091440429738;0.0;0.0;0.0;0.0;-39.64542719729045;0.0;0.0;-2.911078578074026e-06;653.4122689255008;-1.8436766275200384e-05;6185.231331799752;0.0;0.0;0.0;0.0;0.0;0.0
5340;0.0;-161.21985022793635;0.0;8086.70498141773;0.0;0.0;0.0;0.0;-50.15948699855855;0.0;0.0;5.017177403329011e-06;654.5537997255008;-4.7663153960328e-05;6393.643563063507;0.0;0.0;0.0;0.0;0.0;0.0
6240;0.0;-182.44932591595037;0.0;10957.492726004268;0.0;0.0;0.0;0.0;-60.05773203597418;0.0;0.0;0.0;655.4670244560009;3.7064301341979516e-05;6557.97981783125;0.0;0.0;0.0;0.0;0.0;0.0
7140;0.0;-203.54332048872698;0.0;13852.570383277163;0.0;0.0;0.0;0.0;-68.0571111349457;0.0;0.0;1.584643779076876e-06;655.6801102053344;-1.4601385757142048e-05;6590.127063448922;0.0;0.0;0.0;0.0;0.0;0.0
8040;0.0;-163.4569587158276;0.0;8012.808720825017;0.0;-69.19931909335902;0.0;-6919.931909335902;-4.697388017122151;0.0;0.0;-2.1141855593177115e-07;591.3434305163344;-4.690371073721563e-06;6617.759685001923;0.0;0.0;0.0;0.0;0.0;0.0
8940;0.0;-185.90100491837893;0.0;11699.623810816629;0.0;-42.51243299419894;0.0;-3826.1189694779064;-34.47040994300957;0.0;0.0;-1.132034709606568e-07;547.9652574797672;-9.50910391566831e-06;6670.2422042905;0.0;0.0;0.0;0.0;0.0;0.0
9840;0.0;-205.07363591481044;0.0;14086.868454034497;0.0;-37.58830635516571;0.0;-3382.947571964915;-44.1104228456262;0.0;0.0;1.0264102946594502e-06;545.4082283188341;-2.93993987879743e-05;6595.128179700583;0.0;0.0;0.0;0.0;0.0;0.0
10740;0.0;-181.4394439994368;0.0;10083.884707263807;0.0;-74.47019390886966;0.0;-7447.019390886961;-10.303892178229122;0.0;0.0;2.67120677628623e-07;568.7106784975006;-6.678038805783638e-06;6677.364415582245;0.0;0.0;0.0;0.0;0.0;0.0
11640;0.0;-185.5241303585392;0.0;11131.44782151235;0.0;-61.064111547093866;0.0;-6106.411154709387;-20.378249295138723;0.0;0.0;2.0403628439475846e-06;614.1436070525006;1.4792601623343054e-05;6877.311723355501;0.0;0.0;0.0;0.0;0.0;0.0
12540;0.0;-193.08995298167693;0.0;11969.143308882589;0.0;-51.06595629444254;0.0;-5106.595629444252;-28.107235658496315;0.0;0.0;-1.4122004684595126e-06;618.0248119535008;1.624032465314558e-05;6885.484752054504;0.0;0.0;0.0;0.0;0.0;0.0
13440;0.0;-179.06320567734917;0.0;10034.507626399673;0.0;-60.55520040953919;0.0;-6055.520040953919;-16.605517290699808;0.0;0.0;4.2452924130155586e-07;616.8832810630006;-8.91511792840935e-06;7010.415333093506;0.0;0.0;0.0;0.0;0.0;0.0
14340;0.0;-174.9912714075646;0.0;9578.93102960692;0.0;-50.3759701243727;0.0;-5037.597012437271;-20.150816890244837;0.0;0.0;-1.5341389713474363e-06;614.6002193725008;-2.3523475079592377e-05;7097.107815240999;0.0;0.0;0.0;0.0;0.0;0.0
15240;0.0;-168.99080784784874;0.0;8674.141732474174;0.0;-40.894687676967656;0.0;-3680.5218909270893;-23.79211497707639;0.0;0.0;-5.975994314135873e-07;586.9751723835008;-1.7927928590975497e-06;7402.136921328007;0.0;0.0;0.0;0.0;0.0;0.0
16140;0.0;-156.6956118405273;0.0;7527.904295708422;0.0;-38.225716669611785;0.0;-3440.31450026506;-20.97045934729888;0.0;0.0;2.6848094465807824e-06;597.2489502170008;1.396101302913069e-05;7532.321591914505;0.0;0.0;0.0;0.0;0.0;0.0
